fecha_evento,ajuste_pp,ei_general_pp,ei_alimentos_pp,ct_general,ct_alimentos
1996-04-01,10.0,-0.8650111094953394,-1.0017920787836625,-0.08650111094953394,-0.10017920787836625
1997-01-01,10.0,0.5086319682825968,0.7163189147965765,0.05086319682825968,0.07163189147965765
1998-03-01,12.0,0.5140729380567717,0.6408348323920697,0.04283941150473097,0.053402902699339144
2000-02-01,15.0,0.02593980379051819,-0.3652377592516928,0.0017293202527012127,-0.024349183950112853
2001-05-01,15.0,-0.3395018749079232,-1.2954906244023254,-0.02263345832719488,-0.0863660416268217
2002-08-01,12.0,0.6212135227064022,2.0716143022235767,0.05176779355886685,0.17263452518529807
2005-04-01,12.0,0.26247799704259644,0.22032289919483772,0.02187316642021637,0.01836024159956981
2006-04-01,12.0,-0.6715523416293241,-1.5131404806610034,-0.05596269513577701,-0.12609504005508362
2007-10-01,10.0,-0.3465584965562504,-1.138674225044306,-0.034655849655625036,-0.1138674225044306
2009-05-01,5.0,0.38510940427427526,1.3337545487355218,0.07702188085485505,0.26675090974710436
2010-07-01,7.000000000000001,0.6598972159723289,1.702101158702279,0.09427103085318983,0.24315730838603983
2011-04-01,10.0,-1.4797858339174963,-3.869614129521313,-0.14797858339174963,-0.3869614129521313
2014-03-01,10.0,-0.6628326676266061,-1.485546177992562,-0.06628326676266061,-0.14855461779925622
2016-12-01,7.7,0.2391073878456162,0.4133013656215027,0.031052907512417686,0.053675502028766586
2017-07-01,3.9,0.19335229275028548,0.6151213038939802,0.049577510961611664,0.15772341125486672
2018-07-01,3.5000000000000004,-0.05338166502621422,0.37401651135982034,-0.01525190429320406,0.10686186038852008
2019-07-01,3.8,-0.035414403719369325,0.24607054635367168,-0.009319579926149823,0.06475540693517676
2021-07-01,4.3999999999999995,0.6642644557348661,1.8482294372197985,0.15096919448519686,0.42005214482268155
2022-07-01,11.4,-0.5558233528163388,-0.41759043964882026,-0.04875643445757358,-0.03663074032007195
2023-07-01,5.1,0.04312769494254076,0.589181541208524,0.008456410773047209,0.11552579239382824
2024-07-01,4.3999999999999995,-0.14781825264950643,-0.4663025387276715,-0.03359505742034238,-0.10597784971083445
2025-07-01,3.5999999999999996,-0.42972950935264803,-0.3979588849378493,-0.11936930815351335,-0.11054413470495815
