trimestredesc,pct_1sml,pct_cotiza,year,quarter,pct_hogares_internet,pct_hogares_material_apto,pct_hogares_movilidad,n_hogares,ipc_general_q
2022Trim1,7.572140487943531,10.89600261208044,2022,1,49.55960455879161,63.21102169377576,76.28782080437753,5018,1.223127016484038
2022Trim2,7.270252731320795,11.457001996830806,2022,2,47.860809140788234,63.590871530973615,74.62575793423609,4365,0.7180734803805322
2022Trim3,5.357557867238152,11.741627176254973,2022,3,45.55691126865101,63.1690597927048,74.45347207021254,4373,0.352482299859506
2022Trim4,5.105853984029629,10.411555910724609,2022,4,42.540335453099175,61.62046891534073,73.24520564652457,4216,0.32220924651427857
2023Trim1,7.999690858633964,12.020730807990672,2023,1,55.78533826562794,64.76067340123282,77.17278875551546,4917,0.6881385446311672
2023Trim2,8.270619503083852,11.867815885640375,2023,2,51.19904526554444,63.41105976058466,75.6506906410858,4164,0.02648900533480288
2023Trim3,6.841062285421645,11.56430014389685,2023,3,49.63938186649945,63.92426878973751,75.83257674811168,4054,0.10449301600927348
2023Trim4,6.904902517284945,11.917375567225648,2023,4,47.42658607765059,63.92093076394025,75.39494433476517,3902,0.3882235139804531
2024Trim1,7.936656676219231,11.89519765302854,2024,1,55.35152128648476,66.10849980195685,74.6964154523588,4128,0.6644005065534383
2024Trim2,7.79456996396791,11.972861213421343,2024,2,54.24495230611912,64.7083932059897,76.73230117355858,4159,0.25222886933146116
2024Trim3,9.590797192667482,11.834741554235956,2024,3,59.113261563690735,65.8494670698838,76.37024499531387,4044,0.025156214280748934
2024Trim4,8.94911479525669,12.240573650713003,2024,4,63.79161126056195,66.51999889067623,78.67716205278502,4911,0.2991216136779699
2025Trim1,9.90399464936159,13.30394447087698,2025,1,66.8046533431034,69.59346528705339,76.37353415183821,4039,0.8591957306269752
2025Trim2,9.993818019427088,13.145946812257094,2025,2,67.2589846955506,66.67118029101457,77.68170464908746,4088,0.12059816690786669
2025Trim3,9.74821035801909,14.25173846423688,2025,3,70.62909552105597,69.95133949827799,78.33161096366582,4148,0.12018061274970586
2025Trim4,10.193303203007169,14.356811531964102,2025,4,75.04227167020778,69.37842881343889,78.64881310766361,4817,-0.07166695289459644
