h,solapamiento,n_eventos,ei_gen,ei_alim,p_gen,p_alim
3,all,24,-0.26869147204601085,-0.5002382405535415,0.09466666666666666,0.178
3,clean,24,-0.26869147204601085,-0.5002382405535415,0.09466666666666666,0.178
6,all,23,-0.14948563349776556,-0.1839965515280575,0.194,0.456
6,clean,22,-0.066827946649919,-0.05365818078495674,0.5786666666666667,0.8213333333333334
9,all,22,-0.04189902217987201,0.035770838737430845,0.6133333333333333,0.842
9,clean,18,0.06885794086342159,0.2463671787576597,0.4806666666666667,0.18866666666666668
