periodo_txt,periodo,fecha,alim_indice,general_indice,ajuste_pp,ipc_alim_m,ipc_general_m,brecha_m
jul-99,1999-07,1999-07-01,22.7,31.8,,3.65296803652968,2.580645161290329,1.072322875239351
ago-99,1999-08,1999-08-01,22.9,32.0,,0.8810572687224738,0.6289308176100628,0.25212645111241105
sept-99,1999-09,1999-09-01,22.6,32.0,,-1.3100436681222627,0.0,-1.3100436681222627
oct-99,1999-10,1999-10-01,22.6,32.2,,0.0,0.6250000000000089,-0.6250000000000089
nov-99,1999-11,1999-11-01,22.7,32.3,,0.4424778761061843,0.31055900621115295,0.13191886989503132
dic-99,1999-12,1999-12-01,23.1,32.5,,1.7621145374449476,0.6191950464396356,1.142919491005312
ene-00,2000-01,2000-01-01,23.6,32.9,,2.164502164502169,1.2307692307692353,0.9337329337329336
feb-00,2000-02,2000-02-01,24.0,33.3,15.0,1.6949152542372836,1.2158054711246091,0.4791097831126745
mar-00,2000-03,2000-03-01,24.6,34.0,,2.5000000000000133,2.1021021021021102,0.3978978978979031
abr-00,2000-04,2000-04-01,24.8,34.3,,0.8130081300812941,0.8823529411764675,-0.06934481109517332
may-00,2000-05,2000-05-01,24.8,34.4,,0.0,0.291545189504383,-0.291545189504383
jun-00,2000-06,2000-06-01,24.0,34.2,,-3.2258064516129115,-0.5813953488371992,-2.6444111027757122
jul-00,2000-07,2000-07-01,24.1,34.3,,0.4166666666666652,0.29239766081869956,0.12426900584796563
ago-00,2000-08,2000-08-01,24.4,34.5,,1.2448132780082943,0.5830903790087438,0.6617228989995505
sept-00,2000-09,2000-09-01,24.8,35.0,,1.6393442622950838,1.449275362318847,0.19006889997623677
oct-00,2000-10,2000-10-01,25.1,35.3,,1.2096774193548487,0.8571428571428452,0.3525345622120035
nov-00,2000-11,2000-11-01,25.3,35.4,,0.7968127490039834,0.28328611898016387,0.5135266300238195
dic-00,2000-12,2000-12-01,25.0,35.3,,-1.1857707509881465,-0.28248587570621764,-0.9032848752819289
ene-01,2001-01,2001-01-01,25.2,35.8,,0.8000000000000007,1.4164305949008416,-0.6164305949008408
feb-01,2001-02,2001-02-01,25.4,36.0,,0.7936507936507908,0.5586592178770999,0.2349915757736909
mar-01,2001-03,2001-03-01,26.2,36.7,,3.149606299212593,1.9444444444444597,1.205161854768133
abr-01,2001-04,2001-04-01,26.6,37.0,,1.526717557251911,0.8174386920980936,0.7092788651538173
may-01,2001-05,2001-05-01,25.9,36.7,15.0,-2.6315789473684292,-0.8108108108108025,-1.8207681365576267
jun-01,2001-06,2001-06-01,25.1,36.5,,-3.0888030888030826,-0.5449591280654031,-2.5438439607376795
jul-01,2001-07,2001-07-01,24.9,36.7,,-0.7968127490039945,0.5479452054794498,-1.3447579544834443
ago-01,2001-08,2001-08-01,25.0,37.0,,0.40160642570281624,0.8174386920980936,-0.4158322663952774
sept-01,2001-09,2001-09-01,25.2,37.3,,0.8000000000000007,0.8108108108108025,-0.010810810810801819
oct-01,2001-10,2001-10-01,25.3,37.5,,0.3968253968253954,0.536193029490617,-0.13936763266522156
nov-01,2001-11,2001-11-01,25.4,37.7,,0.39525691699604515,0.5333333333333412,-0.13807641633729606
dic-01,2001-12,2001-12-01,26.4,38.2,,3.937007874015741,1.3262599469495928,2.610747927066148
ene-02,2002-01,2002-01-01,26.9,38.5,,1.8939393939394034,0.785340314136107,1.1085990798032963
feb-02,2002-02,2002-02-01,26.7,38.6,,-0.743494423791824,0.25974025974027093,-1.0032346835320949
mar-02,2002-03,2002-03-01,27.2,39.1,,1.8726591760299671,1.2953367875647714,0.5773223884651957
abr-02,2002-04,2002-04-01,27.3,39.2,,0.3676470588235281,0.2557544757033181,0.11189258312021
may-02,2002-05,2002-05-01,27.0,39.2,,-1.098901098901106,0.0,-1.098901098901106
jun-02,2002-06,2002-06-01,27.6,39.9,,2.2222222222222365,1.7857142857142794,0.43650793650795716
jul-02,2002-07,2002-07-01,28.1,41.0,,1.8115942028985588,2.7568922305764465,-0.9452980276778877
ago-02,2002-08,2002-08-01,29.0,42.0,12.0,3.2028469750889688,2.4390243902439046,0.7638225848450642
sept-02,2002-09,2002-09-01,29.7,42.4,,2.4137931034482696,0.952380952380949,1.4614121510673206
oct-02,2002-10,2002-10-01,29.6,42.6,,-0.33670033670032407,0.4716981132075526,-0.8083984499078767
nov-02,2002-11,2002-11-01,30.1,43.2,,1.6891891891891886,1.4084507042253502,0.28073848496383835
dic-02,2002-12,2002-12-01,30.8,43.8,,2.3255813953488413,1.388888888888884,0.9366925064599574
ene-03,2003-01,2003-01-01,32.9,45.5,,6.818181818181812,3.8812785388127935,2.9369032793690186
feb-03,2003-02,2003-02-01,34.2,46.4,11.0,3.951367781155035,1.978021978021971,1.9733458031330642
mar-03,2003-03,2003-03-01,35.2,46.9,,2.923976608187129,1.0775862068965525,1.8463904012905763
abr-03,2003-04,2003-04-01,36.1,47.5,,2.556818181818188,1.279317697228155,1.2775004845900328
may-03,2003-05,2003-05-01,35.1,46.9,,-2.7700831024930705,-1.2631578947368438,-1.5069252077562267
jun-03,2003-06,2003-06-01,34.0,46.2,,-3.1339031339031376,-1.492537313432829,-1.6413658204703085
jul-03,2003-07,2003-07-01,33.7,45.9,,-0.8823529411764675,-0.6493506493506551,-0.23300229182581234
ago-03,2003-08,2003-08-01,33.4,45.8,,-0.8902077151335397,-0.21786492374727962,-0.6723427913862601
sept-03,2003-09,2003-09-01,33.6,45.9,,0.5988023952095967,0.21834061135370675,0.3804617838558899
oct-03,2003-10,2003-10-01,35.4,46.8,,5.357142857142838,1.9607843137254832,3.396358543417355
nov-03,2003-11,2003-11-01,36.5,47.5,,3.1073446327683607,1.4957264957265126,1.611618137041848
dic-03,2003-12,2003-12-01,37.4,47.9,,2.465753424657535,0.8421052631578885,1.6236481614996467
ene-04,2004-01,2004-01-01,37.5,48.0,,0.2673796791443861,0.20876826722338038,0.05861141192100572
feb-04,2004-02,2004-02-01,37.4,48.1,,-0.2666666666666706,0.2083333333333437,-0.4750000000000143
mar-04,2004-03,2004-03-01,37.5,48.3,,0.2673796791443861,0.4158004158004047,-0.14842073665601863
