year,quarter,trimestredesc,pct_hogares_internet,pct_hogares_material_apto,pct_hogares_movilidad,n_hogares
2022,1,2022Trim1,49.55960455879161,63.211021693775756,76.28782080437753,5018
2022,2,2022Trim2,47.860809140788234,63.590871530973615,74.62575793423609,4365
2022,3,2022Trim3,45.55691126865101,63.1690597927048,74.45347207021254,4373
2022,4,2022Trim4,42.540335453099175,61.62046891534073,73.24520564652457,4216
2023,1,2023Trim1,55.78533826562794,64.76067340123282,77.17278875551546,4917
2023,2,2023Trim2,51.19904526554444,63.411059760584664,75.6506906410858,4164
2023,3,2023Trim3,49.63938186649945,63.92426878973751,75.83257674811168,4054
2023,4,2023Trim4,47.42658607765059,63.92093076394025,75.39494433476517,3902
2024,1,2024Trim1,55.35152128648476,66.10849980195685,74.6964154523588,4128
2024,2,2024Trim2,54.24495230611912,64.7083932059897,76.73230117355858,4159
2024,3,2024Trim3,59.113261563690735,65.8494670698838,76.37024499531387,4044
2024,4,2024Trim4,63.79161126056195,66.51999889067623,78.67716205278502,4911
2025,1,2025Trim1,66.8046533431034,69.59346528705339,76.37353415183821,4039
2025,2,2025Trim2,67.2589846955506,66.671180291014565,77.68170464908746,4088
2025,3,2025Trim3,70.62909552105597,69.95133949827799,78.33161096366582,4148
2025,4,2025Trim4,75.04227167020778,69.37842881343889,78.64881310766361,4817
